ID	THBD	NCR1	CD8A	CD3E	CTLA4	CCR7	TIGIT	GZMH	GZMK	LAMP3
SEQC_NB441	9.32	5.57	12.4	11.19	0	9.16	6.45	9.52	8.72	6.72
SEQC_NB386	15.31	8.45	NA	14.48	10.93	13.46	11.42	11.64	12.85	11.53
SEQC_NB316	12.56	7.19	12.12	10.38	4.38	10.52	2.36	8.59	7.52	8.09
SEQC_NB036	14.34	9.66	12.87	14.03	10.74	12.59	11.05	11.73	12.79	11.79
SEQC_NB060	NA	9.7	13.38	13.88	10.37	12.32	10.23	9.09	11.7	9.84
SEQC_NB081	NA	8.35	12.32	10.12	7.77	6.74	5.88	7.65	8.09	8.62
SEQC_NB180	12.32	7.54	12.51	10.93	8.29	10.28	7.89	10.7	9.08	8.2
SEQC_NB356	13.52	10.81	14.67	17.04	12.89	16.4	13.58	11.24	14.22	13.54
SEQC_NB339	12.67	6.36	11.94	10.74	6.81	8.14	6.73	8.02	7.7	7.3
SEQC_NB398	12.27	8.41	12.93	12.17	8.02	11.02	7.85	10.52	9.97	9.84
SEQC_NB435	11.41	7.78	12.25	12.18	NA	11.59	7.98	7.35	8.5	9.36
SEQC_NB299	12.76	9.25	13.78	14.36	9.75	12.2	10.55	11.93	12.42	10.28
SEQC_NB488	11.7	7.65	12.5	11.43	5.5	10.35	6.63	4.75	8.48	8.8
SEQC_NB497	12.33	8.85	12.62	13.12	9.13	11.86	9.83	9.67	NA	10.57
SEQC_NB201	13.1	9.02	12.37	12.17	7.61	10.93	8.05	0	10.07	9.47
